g++ -std=c++0x main.cpp -pthread -o main -I/opt/apps/papi/5.3.0/x86_64/include -L/opt/apps/papi/5.3.0/x86_64/lib -lpapi -lrt && ./main
read_global
thread_count,runtime
1,21054
2,11140
3,7063
4,5646
5,4480
6,3775
7,3208
8,2966
9,2427
10,2295
11,2128
12,1972
13,3199
14,2883
15,2816
16,2679
17,2457
18,2421
19,2242
20,2260
21,2084
22,1955
23,2012
24,1953
25,1863
26,1668
27,2356
28,1693
29,2192
30,2030
31,2165
32,2030

write_global
thread_count,runtime
1,20865
2,16772
3,30941
4,27509
5,27152
6,31678
7,30313
8,30501
9,33176
10,32632
11,32243
12,33559
13,33346
14,33878
15,33261
16,33748
17,34211
18,34080
19,33987
20,34168
21,33730
22,33767
23,33771
24,33796
25,33604
26,33430
27,33803
28,33370
29,33674
30,33671
31,33842
32,33524

read_modify_write_global
thread_count,runtime
1,19872
2,23184
3,42913
4,38279
5,36706
6,43353
7,41474
8,41267
9,44413
10,43590
11,42916
12,44683
13,44369
14,45090
15,44569
16,43706
17,45288
18,45172
19,44547
20,44897
21,44399
22,44597
23,44476
24,44431
25,44201
26,44438
27,44433
28,44406
29,44134
30,44149
31,44226
32,44157

atomic_read_modify_write_global
thread_count,runtime
1,120911
2,188746
3,392815
4,335289
5,405085
6,364782
7,368640
8,374944
9,346722
10,350038
11,344260
12,345385
13,355199
14,340932
15,342314
16,343494
17,340661
18,341259
19,345436
20,342678
21,341379
22,345520
23,341074
24,343427
25,344481
26,340435
27,343362
28,343037
29,340529
30,331717
31,334819
32,341839

lock_unlock
thread_count,runtime
1,270187
2,1031362
3,1739320
4,1574290
5,1390442
6,1226326
7,1148425
8,1189869
9,1173268
10,1130956
11,1139708
12,1169932
13,1148555
14,1194438
15,1182733
16,1190991
17,1202682
18,1227542
19,1227004
20,1243952
21,1220235
22,1237279
23,1255366
24,1264038
25,1247455
26,1252965
27,1257921
28,1260962
29,1255946
30,1257215
31,1267365
32,1270063

